ID,monthCode,month,year,quantitySales,product_ID
2ab06708-53ee-419b-b4ad-1d4eafe665f7,1,January,2024,140,21f78051-061f-4cc4-ad32-62c58311b70d
8712cded-ec77-40f4-903f-17e671049a89,9,September,2024,178,21f78051-061f-4cc4-ad32-62c58311b70d
f0846d8a-476a-4846-93b8-41307d04c84a,4,April,2022,202,21f78051-061f-4cc4-ad32-62c58311b70d
47c8e503-4621-4cce-9b1d-da86326e99ee,12,December,2023,72,21f78051-061f-4cc4-ad32-62c58311b70d
834e34dd-1b28-4df0-bb64-b33be4c4cd45,7,July,2022,474,21f78051-061f-4cc4-ad32-62c58311b70d
f7cbc15e-3363-4286-834f-84f2ff90d084,2,February,2024,374,21f78051-061f-4cc4-ad32-62c58311b70d
59fbb1a3-5b2b-4e97-9d90-b25d7cb6c388,2,February,2024,71,21f78051-061f-4cc4-ad32-62c58311b70d
6aa6dc84-0253-44c4-b20e-5de9513a2fa2,8,August,2024,486,21f78051-061f-4cc4-ad32-62c58311b70d
66761081-fc7c-4319-a3df-96ddc407e957,6,June,2023,431,21f78051-061f-4cc4-ad32-62c58311b70d
e2249ad6-02d8-4f45-84e1-eadcd0eeee09,12,December,2022,391,21f78051-061f-4cc4-ad32-62c58311b70d
324de4ea-5663-4ccb-9342-fcd0967dbf95,9,September,2024,44,21f78051-061f-4cc4-ad32-62c58311b70d
8dc3292d-0823-4750-afdb-24044a10d7a0,1,January,2022,208,21f78051-061f-4cc4-ad32-62c58311b70d
c6e569d9-81fd-47a9-becf-e2916f3f226a,3,March,2022,223,21f78051-061f-4cc4-ad32-62c58311b70d
ce0aa375-5b9a-4aa7-9622-ea14b0653b10,1,January,2022,453,21f78051-061f-4cc4-ad32-62c58311b70d
095c7487-c5b0-4ed6-95de-9c222bb3765a,2,February,2024,390,21f78051-061f-4cc4-ad32-62c58311b70d
6647bc00-a55c-494a-80fa-f65bcaba94bd,8,August,2024,73,21f78051-061f-4cc4-ad32-62c58311b70d
a150a360-5a36-47e9-a298-07da4088bd22,6,June,2024,243,21f78051-061f-4cc4-ad32-62c58311b70d
18f67f1e-3038-42b7-9b71-94c0e682da56,4,April,2023,470,21f78051-061f-4cc4-ad32-62c58311b70d
5bb49d6b-43b3-400f-8c77-02ac8aed171e,8,August,2024,286,21f78051-061f-4cc4-ad32-62c58311b70d
7b4d3078-7403-48ac-903e-948176fb1a03,5,May,2024,353,21f78051-061f-4cc4-ad32-62c58311b70d
62c8a2fe-4e76-4752-8028-f0cf97612992,3,March,2022,12,21f78051-061f-4cc4-ad32-62c58311b70d
bd7246c0-16ff-422f-9a25-c9a0b72ca1a5,10,October,2023,276,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
f20d3178-18e5-4eb4-8425-b384d5a45e59,2,February,2024,266,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
8aab1e90-1060-4435-9c1d-c22fe0b57c5e,12,December,2022,180,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
42b412b1-fb3f-4bd1-86e9-546b901aea16,2,February,2022,194,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
51c0708d-9351-4040-8958-7754a85aeae8,1,January,2024,180,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
35aaacfd-9ef3-4a8a-9f5d-33dfb35d0834,4,April,2024,476,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
f248375a-4050-41c8-8cfb-e5e9d17dd6aa,7,July,2024,300,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
1148a5e3-130f-422e-9331-fd03ac8e8ee2,2,February,2023,438,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
45afb398-fce6-4732-8c49-85f4112d7534,11,November,2023,24,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
22e204f7-57e9-4a16-9e4f-4083263cf84e,4,April,2024,427,ff5739d7-c65e-4fbf-9eb4-083ef5d6ddc6
